episode,total_reward
864,-598.3283369116166
865,-572.9536801574619
866,-571.5912529420076
867,-594.2311382802652
868,-587.374780913081
869,-587.0958416740498
870,-588.5947854138666
871,-565.0945210033508
872,-574.1783962858023
873,-567.516393802098
874,-548.023603229177
875,-569.1248560546687
876,-582.603098982961
877,-592.1793071302566
878,-579.4948973905049
879,-577.6435411929479
880,-575.8795002729506
881,-585.092955466664
882,-582.0881893926886
883,-606.7450662989507
884,-584.6432264349212
885,-592.1865583852255
886,-580.6924264664696
887,-592.5024143277803
888,-584.8032613243446
889,-586.3566489229818
890,-592.8902262365883
891,-569.5860637210354
892,-583.2266563574441
893,-568.1638368286319
894,-577.5768511914612
895,-576.7356562758846
896,-565.5267186759198
897,-579.0922045193911
898,-581.2965760221547
899,-579.2983117839922
900,-580.9964191963271
901,-569.3745545112238
902,-587.3619276303322
903,-578.6084005184096
904,-582.782918975554
905,-595.6328944781893
906,-593.4795465697849
907,-563.2522734566052
908,-551.0910406063508
909,-577.2276656407652
910,-587.1080795130171
911,-551.5430398425218
912,-576.5873640033766
913,-569.9264208366329
914,-548.167263546957
915,-551.5311905742005
916,-562.6762511521684
917,-574.9172776409922
918,-559.1571564258616
919,-581.6568595936516
920,-557.6400624428368
921,-573.0567681859344
922,-557.0461296020976
923,-565.1533033186829
924,-578.6977383386088
925,-563.9216560718102
926,-571.5425551559772
927,-570.1524964340606
928,-582.2043110672971
929,-572.1955592485532
930,-578.724831665287
931,-571.0351070027351
932,-594.7306283637961
933,-558.1067465243439
934,-572.3070422310137
935,-568.5480849130587
936,-574.3505277094023
937,-588.9150581772317
938,-564.3439674598367
939,-567.9543186260844
940,-585.5407591723272
941,-587.2782441736608
942,-562.478540463545
943,-558.8169041957722
944,-575.9601954438873
945,-576.8946005783949
946,-578.4730917483542
947,-550.1721330399367
948,-586.1869326628766
949,-596.7546944548608
950,-599.0825959499108
951,-595.6725804354207
952,-577.6363954197363
953,-583.7233760933875
954,-581.1465231426743
955,-575.028946403687
956,-587.1165161281187
957,-562.0286431782899
958,-581.9147703876869
959,-594.2092838313674
960,-590.9037857183132
961,-574.213747479492
962,-616.7608855672185
963,-596.2245679664143
964,-565.4285526636645
965,-580.9073187538227
966,-557.1415296328654
967,-586.1205008982606
968,-580.0715787406097
969,-575.2379105345617
970,-580.4144031253757
971,-584.217558237099
972,-566.1268176464565
973,-588.1530907761012
974,-574.8502411946416
975,-600.1591353894571
976,-553.9550217081343
977,-569.2690075849779
978,-562.6006799206566
979,-565.6065379204811
980,-582.1377418223535
981,-592.5784496946541
982,-570.4532498143088
983,-616.7457848576885
984,-578.2618200997931
985,-589.4562420768007
986,-562.8707688647338
987,-584.3480731419689
988,-573.3856434659601
989,-599.313749581408
990,-565.9648366491948
991,-558.955736433033
992,-577.7552466852644
993,-586.071556792381
994,-594.5320254463995
995,-602.9768823852714
996,-573.2744070405578
997,-585.161349732767
998,-578.5260794443974
999,-566.200471810628
1000,-581.1453994549219
1001,-612.4652714958212
1002,-585.5953704468385
1003,-584.246956661801
1004,-573.2807994413572
1005,-566.8976329341027
1006,-572.1805904642846
1007,-568.0044841155544
1008,-595.7195050726875
1009,-589.4142401791786
1010,-575.2919609695766
1011,-569.2138770970578
1012,-595.0061005446588
1013,-573.5395905941485
1014,-580.2401357571846
1015,-596.987878735015
1016,-562.7382699108396
1017,-573.2505119651261
1018,-574.3757584704252
1019,-593.1957141213625
1020,-579.6440300256891
1021,-597.1501176893522
1022,-588.4418638292937
1023,-589.8225517347213
1024,-569.460809895125
1025,-588.5016271990723
1026,-604.3463248955974
1027,-590.0103182789
1028,-605.9289634152613
1029,-603.0499489113504
1030,-566.4272825768076
1031,-605.5873311100218
1032,-544.6676513890355
1033,-578.104461831729
1034,-592.5446464328242
1035,-590.7236537471268
1036,-576.610329336666
1037,-613.8058165908039
1038,-560.5812262999865
1039,-583.9358279137771
1040,-590.1860846634537
1041,-595.0553998151269
1042,-604.2673909776396
1043,-587.8393528816285
1044,-562.9875612564053
1045,-603.260580076268
1046,-586.5814510848408
1047,-576.9704460474517
1048,-598.3377056224427
1049,-555.00699053274
1050,-563.0818141897093
1051,-584.6439767525666
1052,-591.9605841507793
1053,-574.7861072567609
1054,-561.7249205859646
1055,-579.3382439783716
1056,-572.2794872058307
1057,-565.1787158278328
1058,-570.1366902914044
1059,-583.9516354576845
1060,-565.9805558689146
1061,-567.1333545257343
1062,-549.2048113479663
1063,-568.7107399288927
1064,-589.8173974268435
1065,-586.4220995472106
1066,-577.0393089786218
1067,-605.515233246815
1068,-569.3968458065823
1069,-572.7708509987922
1070,-583.622012635629
1071,-574.0435565998524
1072,-568.0703577360639
1073,-574.2707115275016
1074,-548.2690819208289
1075,-574.4141512989911
1076,-578.5229650400458
1077,-574.2503634472499
1078,-573.7041903542705
1079,-583.5557134812852
1080,-574.6405226291668
1081,-609.2063482526466
1082,-576.9628059555255
1083,-579.1191061997818
1084,-595.1391048033088
1085,-576.4712907445349
1086,-601.5941150227434
1087,-559.9963778059888
1088,-579.2330046599631
1089,-568.2440349689866
1090,-586.1042051810665
1091,-589.8588417535658
1092,-586.300546627363
1093,-575.7770561864523
1094,-601.4086917287966
1095,-576.4531065000469
1096,-572.6312461464449
1097,-584.386777623833
1098,-581.6223437364644
1099,-596.3665385452205
1100,-573.6302906683242
1101,-567.3186983086816
1102,-590.8308846223175
1103,-590.5148712273037
1104,-573.188738038411
1105,-568.6904003656423
1106,-592.0603750615766
1107,-584.6041167074706
1108,-576.8517986542524
1109,-582.7274289700617
1110,-572.6341403238725
1111,-579.3333797774321
1112,-583.8150667071931
1113,-583.6960030817429
1114,-572.9797428086086
1115,-576.3719811886466
1116,-567.3776152922985
1117,-588.9246794425665
1118,-584.1364287737255
1119,-576.5625688615205
1120,-573.245463029586
1121,-572.7804156389076
1122,-592.5164200822627
1123,-576.6733651705762
1124,-589.8769957843222
1125,-564.344772650863
1126,-574.9674488881078
1127,-610.4056042168056
1128,-588.8417153592206
1129,-597.200487791033
1130,-570.7910978961335
1131,-568.8226423033911
1132,-572.7769649687542
1133,-565.4605063094804
1134,-572.4555384677533
1135,-562.3799243452194
1136,-574.5698252444084
1137,-591.8450716609624
1138,-558.0332292332862
1139,-585.7830306557025
1140,-578.2356343258497
1141,-564.5708970761377
1142,-574.225326967967
1143,-580.5280660877798
1144,-591.5255048082871
1145,-601.7674527842211
1146,-574.4645715143134
1147,-592.343581154212
1148,-590.0045184343546
1149,-579.4478996116693
1150,-580.36947546525
1151,-579.5690856999482
1152,-586.2100238481412
1153,-579.3790166419507
1154,-561.3261546984663
1155,-569.4394988704847
1156,-578.2833673087229
1157,-576.6602622585433
1158,-572.0699411971101
1159,-585.3861314235553
1160,-566.0792712577949
1161,-586.6159918074853
1162,-593.5727825593389
1163,-586.6623253776564
1164,-586.4489608094167
1165,-586.2665931705171
1166,-588.598523557496
1167,-563.1477690095702
1168,-572.9008150499835
1169,-594.2408639876168
1170,-596.5639913362824
1171,-601.0269936965045
1172,-553.4293648450546
1173,-594.0531061249764
1174,-542.5427778511221
1175,-567.8198398045811
1176,-565.1769461909257
1177,-579.8637008964546
1178,-581.662559698568
1179,-572.0321552234103
1180,-559.3798813626889
1181,-591.453560292094
1182,-569.7364591110279
1183,-621.4365232129999
1184,-560.3674556956331
1185,-552.2749539955755
1186,-544.3973117689541
1187,-571.8526333220674
1188,-562.4667351980142
1189,-583.3324369953039
1190,-594.4227874017855
1191,-594.5755909422645
1192,-559.5027440743684
1193,-582.8509344538793
1194,-564.3008758215262
1195,-588.5252776450181
1196,-595.2134375562873
1197,-588.0228791797621
1198,-568.5605069496148
1199,-569.0811540345101
1200,-562.780136291906
1201,-584.9130372776089
1202,-581.8133074619011
1203,-579.0207275228751
1204,-585.7264781408796
1205,-585.2423016653067
1206,-567.5012242727101
1207,-567.22600494041
1208,-566.1571137735631
1209,-562.6085602177593
1210,-574.1709677420502
1211,-571.7112266557211
1212,-597.9333604726457
1213,-575.4936496220043
1214,-582.7020073966723
1215,-577.0721191233634
1216,-572.6063839143632
1217,-576.3976735853206
1218,-559.7033702109688
1219,-581.1283127274851
1220,-564.3935739735078
1221,-603.4824181313805
1222,-580.7669670012583
1223,-578.0421521482261
1224,-604.1731951897907
1225,-569.228049391792
1226,-596.9751241218488
1227,-575.2863095067054
1228,-585.9127453584831
1229,-577.1458060473874
1230,-595.6177145218678
1231,-583.9234739392365
1232,-585.2740251971076
1233,-569.4574921758176
1234,-582.9594230890982
1235,-587.6676193574791
1236,-584.2913531089772
1237,-584.5893626918465
1238,-563.0782822710934
1239,-581.3578925163841
1240,-563.1993033108596
1241,-570.8973843968545
1242,-566.6426869189889
1243,-569.3747942992424
1244,-583.0742287987179
1245,-592.0611103814775
1246,-585.9385714001579
1247,-577.8649480575689
1248,-588.9894360499001
1249,-581.7553833342544
1250,-571.4996888961514
1251,-571.8403310650654
1252,-575.7634978554692
1253,-583.7539344908008
1254,-577.4840457573421
1255,-597.0298704409146
1256,-565.6889344071539
1257,-579.9240327275369
